shipment_ref,origin_port,destination_port,distance_km,transit_time_days,container_type,cargo_type,weight_kg,volume_cbm,carrier_tier,departure_month,seasonality_index,brent_fuel_index,market_demand_factor,actual_freight_price_usd
SHP-10021,Tokyo,Los Angeles,8867.2,10,40ft_Standard,Electronics,16741.5,41.8,Tier_2_Regional,7,1.05,104.5,0.97,5495.37
SHP-10022,Chennai,Rotterdam,11597.1,23,LCL_Consolidated,Hazardous_Chemicals,3634.7,10.8,Tier_2_Regional,9,1.25,95.8,1.14,5130.05
SHP-10023,Nhava Sheva,Dubai,2059.3,4,20ft_Standard,Textiles,4029.0,25.5,Tier_2_Regional,9,1.25,105.1,1.17,3365.19
SHP-10024,Chennai,Rotterdam,11592.2,21,40ft_Standard,General_Dry,9223.3,62.6,Tier_3_Spot,7,1.05,76.3,1.36,6536.2
SHP-10025,Nhava Sheva,Dubai,2115.8,4,20ft_Standard,Perishable_Reefer,13506.1,24.4,Tier_3_Spot,5,1.05,79.4,1.27,4055.89
SHP-10026,Nhava Sheva,Dubai,2053.1,5,40ft_HighCube,Perishable_Reefer,26722.3,74.0,Tier_2_Regional,1,0.9,88.5,1.42,8606.84
SHP-10027,Nhava Sheva,New York,14114.7,26,40ft_HighCube,Electronics,25855.6,72.3,Tier_2_Regional,6,1.05,82.3,1.12,8570.58
SHP-10028,Tokyo,Los Angeles,8840.7,14,20ft_Standard,Textiles,8388.8,26.9,Tier_3_Spot,3,1.05,81.5,1.36,4176.9
SHP-10029,Busan,Long Beach,9410.6,14,40ft_HighCube,Automotive,22917.0,51.3,Tier_1_Alliance,11,1.05,102.7,1.15,7995.64
SHP-10030,Singapore,Dubai,5981.1,9,20ft_Standard,Textiles,17928.3,15.8,Tier_2_Regional,6,1.05,99.8,1.22,3920.41
SHP-10031,Singapore,Dubai,5832.3,12,LCL_Consolidated,Automotive,1003.4,13.3,Tier_1_Alliance,12,1.05,104.5,1.17,2810.17
SHP-10032,Shanghai,Rotterdam,19516.5,28,LCL_Consolidated,Electronics,1887.2,12.8,Tier_1_Alliance,1,0.9,104.4,0.99,3906.44
SHP-10033,Nhava Sheva,Dubai,2133.4,6,LCL_Consolidated,Automotive,1195.5,13.2,Tier_3_Spot,3,1.05,107.1,1.32,1986.29
SHP-10034,Hamburg,Singapore,15705.0,25,LCL_Consolidated,Textiles,4148.4,5.2,Tier_3_Spot,12,1.05,75.9,1.35,3726.36
SHP-10035,Chennai,Colombo,594.5,5,40ft_HighCube,Hazardous_Chemicals,14012.6,65.5,Tier_1_Alliance,7,1.05,83.8,1.35,9506.6
SHP-10036,Singapore,Dubai,5870.2,13,LCL_Consolidated,Textiles,1990.2,2.3,Tier_3_Spot,5,1.05,78.4,1.4,2061.25
SHP-10037,Singapore,Dubai,5807.7,13,LCL_Consolidated,Hazardous_Chemicals,4038.9,7.2,Tier_3_Spot,9,1.25,76.2,1.37,3615.5
SHP-10038,Nhava Sheva,Dubai,2050.9,7,20ft_Standard,Automotive,15363.4,31.9,Tier_3_Spot,12,1.05,96.1,1.08,3130.96
SHP-10039,Nhava Sheva,New York,14289.8,27,40ft_HighCube,Textiles,22955.6,54.3,Tier_1_Alliance,5,1.05,96.0,1.06,7569.85
SHP-10040,Busan,Long Beach,9359.1,13,40ft_Standard,Perishable_Reefer,24926.5,56.7,Tier_3_Spot,3,1.05,94.2,1.04,7250.4
SHP-10041,Tokyo,Los Angeles,8866.7,12,40ft_HighCube,Electronics,24143.7,63.8,Tier_2_Regional,6,1.05,88.7,1.12,7517.82
SHP-10042,Nhava Sheva,Dubai,2102.2,5,20ft_Standard,Hazardous_Chemicals,14949.4,26.1,Tier_3_Spot,2,0.9,101.5,1.29,4197.99
SHP-10043,Santos,Rotterdam,10162.1,18,40ft_Standard,General_Dry,12407.2,50.2,Tier_1_Alliance,2,0.9,88.4,1.36,6349.88
SHP-10044,Singapore,Fremantle,3838.9,10,LCL_Consolidated,Perishable_Reefer,1164.1,10.3,Tier_1_Alliance,2,0.9,100.0,1.0,1955.48
SHP-10045,Busan,Long Beach,9403.6,12,40ft_Standard,General_Dry,10400.1,49.9,Tier_2_Regional,9,1.25,107.6,1.2,7037.82
SHP-10046,Chennai,Colombo,672.5,6,LCL_Consolidated,Automotive,4537.4,10.9,Tier_2_Regional,8,1.25,88.2,1.29,2049.28
SHP-10047,Santos,Rotterdam,10155.5,21,LCL_Consolidated,Textiles,1735.7,2.9,Tier_1_Alliance,5,1.05,80.4,1.06,2524.92
SHP-10048,Tokyo,Los Angeles,8716.1,11,40ft_Standard,Perishable_Reefer,10750.5,41.8,Tier_3_Spot,7,1.05,86.7,1.17,6755.5
SHP-10049,Hamburg,Singapore,15712.5,26,LCL_Consolidated,Automotive,587.9,12.6,Tier_3_Spot,10,1.25,85.7,0.88,3110.81
SHP-10050,Shanghai,Rotterdam,19459.7,30,LCL_Consolidated,Automotive,3805.9,11.6,Tier_3_Spot,4,1.05,89.6,1.03,3783.68
SHP-10051,Chennai,Colombo,555.8,4,LCL_Consolidated,Textiles,4282.3,13.0,Tier_1_Alliance,10,1.25,91.2,1.37,2305.69
SHP-10052,Singapore,Fremantle,3912.9,7,20ft_Standard,Textiles,5442.6,23.3,Tier_2_Regional,1,0.9,81.4,1.06,2235.84
SHP-10053,Chennai,Colombo,615.4,5,40ft_HighCube,Perishable_Reefer,25028.4,59.6,Tier_2_Regional,12,1.05,91.4,1.42,9208.31
SHP-10054,Shanghai,Rotterdam,19444.8,27,20ft_Standard,General_Dry,6588.5,15.4,Tier_1_Alliance,3,1.05,80.6,1.14,5386.38
SHP-10055,Nhava Sheva,New York,14212.8,26,LCL_Consolidated,Textiles,3951.0,4.0,Tier_2_Regional,10,1.25,106.7,1.27,4529.58
SHP-10056,Shanghai,Los Angeles,10592.9,13,20ft_Standard,Hazardous_Chemicals,15192.3,32.2,Tier_3_Spot,7,1.05,105.9,0.99,5354.36
SHP-10057,Singapore,Fremantle,3938.1,8,20ft_Standard,Textiles,18305.3,25.8,Tier_2_Regional,2,0.9,100.7,1.19,3239.28
SHP-10058,Chennai,Rotterdam,11469.4,24,40ft_HighCube,General_Dry,21655.8,45.4,Tier_3_Spot,7,1.05,101.6,0.94,5163.44
SHP-10059,Shanghai,Rotterdam,19527.1,30,40ft_Standard,Perishable_Reefer,21208.3,65.9,Tier_1_Alliance,5,1.05,94.2,1.38,13939.5
SHP-10060,Chennai,Colombo,643.0,6,40ft_HighCube,Hazardous_Chemicals,24953.2,47.7,Tier_1_Alliance,8,1.25,80.8,1.13,9602.02
SHP-10061,Singapore,Fremantle,3933.6,9,20ft_Standard,Perishable_Reefer,6273.1,18.8,Tier_2_Regional,5,1.05,84.3,1.36,4434.91
SHP-10062,Busan,Long Beach,9476.0,16,20ft_Standard,Automotive,4541.0,28.0,Tier_1_Alliance,8,1.25,92.0,1.01,4729.28
SHP-10063,Chennai,Colombo,679.2,5,LCL_Consolidated,General_Dry,1824.1,6.9,Tier_1_Alliance,4,1.05,83.0,1.19,1267.55
SHP-10064,Chennai,Colombo,660.7,4,LCL_Consolidated,Textiles,1988.6,10.4,Tier_3_Spot,5,1.05,83.0,1.0,1068.39
SHP-10065,Busan,Long Beach,9338.5,12,40ft_Standard,Electronics,21294.9,43.8,Tier_1_Alliance,10,1.25,107.2,1.16,9194.13
SHP-10066,Singapore,Dubai,5996.1,10,40ft_HighCube,Electronics,13229.9,45.4,Tier_2_Regional,9,1.25,76.6,0.9,5710.53
SHP-10067,Chennai,Rotterdam,11510.7,22,LCL_Consolidated,General_Dry,3083.3,7.6,Tier_1_Alliance,8,1.25,84.3,1.4,4483.14
SHP-10068,Singapore,Dubai,5988.2,12,20ft_Standard,General_Dry,11851.4,25.4,Tier_2_Regional,11,1.05,73.9,0.96,2805.43
SHP-10069,Singapore,Fremantle,3989.8,7,40ft_Standard,General_Dry,21760.0,54.4,Tier_3_Spot,10,1.25,80.1,1.16,5847.86
SHP-10070,Chennai,Colombo,731.7,4,LCL_Consolidated,Hazardous_Chemicals,3294.6,9.3,Tier_3_Spot,12,1.05,75.6,1.29,1856.41
SHP-10071,Santos,Rotterdam,10142.2,17,40ft_Standard,Electronics,17935.9,40.0,Tier_1_Alliance,7,1.05,88.2,1.2,7611.63
SHP-10072,Singapore,Dubai,5806.5,11,40ft_HighCube,Textiles,11281.2,52.2,Tier_2_Regional,5,1.05,100.4,1.22,6068.25
SHP-10073,Santos,Rotterdam,10260.8,18,LCL_Consolidated,General_Dry,1511.6,3.8,Tier_3_Spot,5,1.05,101.8,0.92,2045.75
SHP-10074,Shanghai,Los Angeles,10558.5,17,40ft_HighCube,Perishable_Reefer,18436.6,54.4,Tier_1_Alliance,7,1.05,105.9,1.15,9824.09
SHP-10075,Chennai,Colombo,637.6,6,20ft_Standard,Perishable_Reefer,8801.8,19.5,Tier_3_Spot,2,0.9,80.2,1.24,2840.16
SHP-10076,Singapore,Fremantle,3917.4,7,40ft_HighCube,Automotive,23736.0,50.4,Tier_1_Alliance,9,1.25,95.5,1.37,9922.59
SHP-10077,Shanghai,Los Angeles,10599.4,16,LCL_Consolidated,General_Dry,2065.8,6.0,Tier_2_Regional,11,1.05,75.8,0.97,2084.14
SHP-10078,Hamburg,Singapore,15838.7,25,LCL_Consolidated,Automotive,2546.7,5.8,Tier_1_Alliance,6,1.05,76.2,1.3,4457.78
SHP-10079,Tokyo,Los Angeles,8865.0,10,LCL_Consolidated,Perishable_Reefer,1344.1,6.3,Tier_1_Alliance,8,1.25,94.5,1.29,4690.75
SHP-10080,Nhava Sheva,Dubai,2053.4,5,40ft_HighCube,Perishable_Reefer,18724.8,45.9,Tier_3_Spot,11,1.05,93.9,1.01,5760.56
SHP-10081,Shanghai,Los Angeles,10462.2,13,LCL_Consolidated,General_Dry,4965.2,13.0,Tier_1_Alliance,8,1.25,106.1,1.23,4282.36
SHP-10082,Shanghai,Los Angeles,10499.7,15,40ft_HighCube,Perishable_Reefer,27644.4,52.6,Tier_2_Regional,9,1.25,77.2,0.98,9279.58
SHP-10083,Singapore,Fremantle,3901.6,8,20ft_Standard,Hazardous_Chemicals,9117.8,29.2,Tier_2_Regional,5,1.05,101.5,1.03,4249.46
SHP-10084,Singapore,Dubai,5967.5,13,LCL_Consolidated,Electronics,2923.6,6.1,Tier_2_Regional,9,1.25,99.5,1.08,2671.38
SHP-10085,Shanghai,Rotterdam,19573.9,28,LCL_Consolidated,Electronics,696.4,10.9,Tier_2_Regional,12,1.05,104.9,1.09,4449.02
SHP-10086,Santos,Rotterdam,10258.5,18,LCL_Consolidated,General_Dry,2760.3,9.1,Tier_1_Alliance,2,0.9,103.5,1.12,2627.65
SHP-10087,Tokyo,Los Angeles,8882.1,10,40ft_Standard,Perishable_Reefer,25459.2,37.4,Tier_3_Spot,5,1.05,84.2,1.25,7922.08
SHP-10088,Santos,Rotterdam,10116.1,19,LCL_Consolidated,Hazardous_Chemicals,3734.2,11.1,Tier_3_Spot,9,1.25,73.3,0.92,3309.31
SHP-10089,Santos,Rotterdam,10236.9,19,40ft_Standard,Textiles,15811.5,38.2,Tier_1_Alliance,11,1.05,97.3,0.93,5187.14
SHP-10090,Shanghai,Los Angeles,10538.8,13,20ft_Standard,Hazardous_Chemicals,8280.6,21.7,Tier_1_Alliance,3,1.05,80.8,1.1,5860.54
SHP-10091,Santos,Rotterdam,10258.5,18,40ft_Standard,General_Dry,23675.1,54.8,Tier_3_Spot,4,1.05,89.9,1.19,6154.26
SHP-10092,Nhava Sheva,Dubai,2092.2,6,LCL_Consolidated,Hazardous_Chemicals,542.3,11.7,Tier_3_Spot,5,1.05,96.4,0.97,1740.46
SHP-10093,Chennai,Colombo,739.0,6,40ft_HighCube,Textiles,22425.6,59.2,Tier_2_Regional,5,1.05,79.2,1.09,5095.35
SHP-10094,Chennai,Colombo,571.3,5,40ft_HighCube,Automotive,27868.5,54.2,Tier_2_Regional,11,1.05,86.2,0.88,4570.66
SHP-10095,Santos,Rotterdam,10255.7,17,LCL_Consolidated,Hazardous_Chemicals,3231.8,6.2,Tier_1_Alliance,11,1.05,78.8,1.02,3507.71
SHP-10096,Busan,Long Beach,9453.5,13,20ft_Standard,Textiles,3709.6,29.2,Tier_3_Spot,1,0.9,92.9,1.28,3455.8
SHP-10097,Nhava Sheva,New York,14281.9,27,LCL_Consolidated,Electronics,1094.7,8.5,Tier_1_Alliance,6,1.05,91.1,1.37,4807.04
SHP-10098,Shanghai,Los Angeles,10451.4,16,40ft_HighCube,Textiles,24476.2,59.5,Tier_2_Regional,2,0.9,77.1,1.4,7169.93
SHP-10099,Santos,Rotterdam,10244.8,20,40ft_HighCube,General_Dry,10250.5,61.6,Tier_2_Regional,8,1.25,85.3,1.28,8264.73
SHP-10100,Singapore,Dubai,5916.9,11,20ft_Standard,Textiles,11486.6,26.2,Tier_1_Alliance,9,1.25,83.8,1.21,4768.36
SHP-10101,Santos,Rotterdam,10112.6,20,40ft_HighCube,Textiles,12100.2,46.4,Tier_2_Regional,1,0.9,83.0,1.15,5187.96
SHP-10102,Nhava Sheva,New York,14147.0,29,40ft_Standard,Perishable_Reefer,14678.2,65.4,Tier_2_Regional,12,1.05,106.1,1.11,8920.32
SHP-10103,Busan,Long Beach,9445.3,15,20ft_Standard,Perishable_Reefer,10346.1,32.1,Tier_3_Spot,1,0.9,96.9,1.0,3878.99
SHP-10104,Chennai,Colombo,740.1,4,20ft_Standard,Textiles,12800.4,32.6,Tier_2_Regional,6,1.05,74.2,1.03,2543.36
SHP-10105,Nhava Sheva,New York,14289.8,28,20ft_Standard,Textiles,14550.7,25.7,Tier_1_Alliance,1,0.9,73.8,1.06,4137.63
SHP-10106,Shanghai,Los Angeles,10557.4,14,20ft_Standard,Automotive,13554.9,29.6,Tier_1_Alliance,4,1.05,83.8,0.96,4386.36
SHP-10107,Singapore,Fremantle,3800.6,8,40ft_Standard,Automotive,22373.2,38.5,Tier_2_Regional,1,0.9,76.7,1.07,4253.12
SHP-10108,Nhava Sheva,Dubai,2117.8,4,40ft_Standard,Hazardous_Chemicals,10281.7,48.5,Tier_1_Alliance,2,0.9,98.8,1.14,6167.34
SHP-10109,Shanghai,Rotterdam,19502.6,27,LCL_Consolidated,Automotive,4754.4,2.5,Tier_1_Alliance,11,1.05,90.8,1.13,4688.92
SHP-10110,Chennai,Rotterdam,11412.2,24,LCL_Consolidated,Perishable_Reefer,985.8,10.5,Tier_3_Spot,8,1.25,74.6,0.92,3102.97
SHP-10111,Singapore,Fremantle,3829.7,8,40ft_HighCube,Automotive,20536.6,67.1,Tier_3_Spot,7,1.05,107.8,1.17,6410.23
SHP-10112,Chennai,Colombo,651.1,5,20ft_Standard,Textiles,18350.3,26.7,Tier_1_Alliance,9,1.25,98.0,1.0,3637.01
SHP-10113,Chennai,Colombo,727.6,5,40ft_HighCube,Perishable_Reefer,17487.8,47.9,Tier_2_Regional,7,1.05,83.3,1.02,5956.4
SHP-10114,Shanghai,Los Angeles,10537.4,16,20ft_Standard,General_Dry,4678.1,16.7,Tier_1_Alliance,12,1.05,85.4,0.95,3288.32
SHP-10115,Chennai,Rotterdam,11517.3,25,40ft_HighCube,Textiles,17394.6,72.1,Tier_1_Alliance,7,1.05,103.3,1.27,8858.92
SHP-10116,Singapore,Dubai,5920.1,11,20ft_Standard,Automotive,6829.3,26.8,Tier_3_Spot,4,1.05,102.5,1.07,3305.31
SHP-10117,Tokyo,Los Angeles,8773.5,12,40ft_Standard,Perishable_Reefer,25541.8,61.2,Tier_3_Spot,10,1.25,96.3,1.18,9788.19
SHP-10118,Singapore,Fremantle,3985.8,9,20ft_Standard,Electronics,15648.6,20.6,Tier_2_Regional,6,1.05,84.6,0.98,3206.01
SHP-10119,Shanghai,Los Angeles,10513.3,16,20ft_Standard,Electronics,14397.1,15.6,Tier_3_Spot,12,1.05,91.1,1.08,4142.78
SHP-10120,Chennai,Colombo,618.2,4,40ft_HighCube,Textiles,23983.0,62.6,Tier_2_Regional,2,0.9,103.8,0.96,4161.8
SHP-10121,Singapore,Fremantle,3810.0,7,40ft_HighCube,Perishable_Reefer,17632.3,63.8,Tier_3_Spot,7,1.05,81.8,1.29,7989.27
SHP-10122,Nhava Sheva,New York,14169.0,25,40ft_HighCube,Textiles,20676.4,61.3,Tier_3_Spot,5,1.05,73.6,1.09,6516.34
SHP-10123,Singapore,Fremantle,3811.0,8,40ft_HighCube,Electronics,23754.9,54.0,Tier_1_Alliance,2,0.9,72.3,1.28,6704.24
SHP-10124,Shanghai,Los Angeles,10425.8,17,40ft_Standard,Automotive,23000.4,60.8,Tier_3_Spot,2,0.9,86.3,1.28,6309.07
SHP-10125,Hamburg,Singapore,15703.7,23,40ft_HighCube,Automotive,20321.2,67.0,Tier_2_Regional,7,1.05,82.4,1.1,8013.6
SHP-10126,Shanghai,Rotterdam,19434.4,31,LCL_Consolidated,Textiles,896.6,12.1,Tier_2_Regional,4,1.05,87.7,1.1,3802.77
SHP-10127,Nhava Sheva,New York,14179.2,27,40ft_HighCube,Electronics,24024.1,47.4,Tier_2_Regional,11,1.05,76.1,1.16,8068.99
SHP-10128,Shanghai,Rotterdam,19470.2,28,40ft_Standard,General_Dry,12607.4,40.6,Tier_1_Alliance,3,1.05,99.4,1.23,8174.67
SHP-10129,Shanghai,Los Angeles,10590.3,16,LCL_Consolidated,Automotive,2520.1,13.1,Tier_3_Spot,10,1.25,95.1,1.41,4272.37
SHP-10130,Shanghai,Rotterdam,19572.8,29,40ft_Standard,Perishable_Reefer,16440.6,55.2,Tier_1_Alliance,5,1.05,93.3,1.07,10112.24
SHP-10131,Nhava Sheva,New York,14162.1,28,20ft_Standard,General_Dry,17970.5,16.4,Tier_2_Regional,2,0.9,94.1,1.15,4088.82
SHP-10132,Chennai,Colombo,666.1,2,LCL_Consolidated,Automotive,1347.1,9.3,Tier_3_Spot,9,1.25,77.4,0.91,1053.45
SHP-10133,Nhava Sheva,New York,14262.2,27,20ft_Standard,Automotive,6106.1,19.5,Tier_3_Spot,8,1.25,107.7,1.16,5591.41
SHP-10134,Singapore,Fremantle,3831.7,9,40ft_HighCube,Perishable_Reefer,23940.4,66.0,Tier_2_Regional,1,0.9,100.4,1.23,7566.94
SHP-10135,Nhava Sheva,New York,14165.9,29,LCL_Consolidated,Hazardous_Chemicals,3756.8,9.9,Tier_2_Regional,10,1.25,103.4,1.06,5516.98
SHP-10136,Singapore,Fremantle,3932.7,9,40ft_HighCube,Textiles,21918.4,49.0,Tier_3_Spot,12,1.05,105.8,1.05,5008.7
SHP-10137,Hamburg,Singapore,15828.7,25,40ft_Standard,Textiles,22921.3,58.6,Tier_3_Spot,11,1.05,104.8,0.93,5623.81
SHP-10138,Santos,Rotterdam,10184.7,19,20ft_Standard,Hazardous_Chemicals,6244.7,18.9,Tier_2_Regional,8,1.25,78.9,1.42,7744.12
SHP-10139,Shanghai,Los Angeles,10415.4,13,20ft_Standard,Textiles,18775.1,26.1,Tier_2_Regional,10,1.25,85.6,0.97,4440.97
SHP-10140,Busan,Long Beach,9454.2,13,LCL_Consolidated,General_Dry,2139.3,10.6,Tier_2_Regional,8,1.25,94.0,1.29,3494.39
SHP-10141,Chennai,Colombo,596.8,3,40ft_HighCube,Perishable_Reefer,16621.1,74.4,Tier_1_Alliance,8,1.25,88.6,1.03,8693.74
SHP-10142,Hamburg,Singapore,15800.6,26,40ft_Standard,Electronics,10491.2,43.0,Tier_3_Spot,11,1.05,89.3,1.08,6288.03
SHP-10143,Nhava Sheva,New York,14242.3,29,20ft_Standard,Hazardous_Chemicals,16736.1,19.9,Tier_1_Alliance,9,1.25,77.3,1.12,8592.15
SHP-10144,Nhava Sheva,Dubai,2163.3,6,20ft_Standard,Perishable_Reefer,10136.2,21.7,Tier_1_Alliance,7,1.05,107.8,1.08,4189.49
SHP-10145,Chennai,Rotterdam,11463.7,21,40ft_HighCube,Electronics,10689.5,73.4,Tier_1_Alliance,8,1.25,97.1,0.95,8518.72
SHP-10146,Busan,Long Beach,9393.8,16,20ft_Standard,General_Dry,7606.6,30.0,Tier_1_Alliance,9,1.25,105.8,1.21,5560.83
SHP-10147,Hamburg,Singapore,15722.2,25,40ft_Standard,Hazardous_Chemicals,8859.5,48.4,Tier_1_Alliance,10,1.25,88.5,0.94,9740.35
SHP-10148,Chennai,Colombo,669.3,2,40ft_Standard,Textiles,13242.9,35.1,Tier_1_Alliance,6,1.05,80.7,1.1,4305.8
SHP-10149,Santos,Rotterdam,10233.6,21,40ft_HighCube,General_Dry,19793.5,69.4,Tier_3_Spot,9,1.25,91.9,1.09,7290.91
SHP-10150,Chennai,Colombo,558.7,5,40ft_HighCube,Hazardous_Chemicals,10292.4,69.4,Tier_3_Spot,6,1.05,80.7,1.23,7278.68
SHP-10151,Nhava Sheva,New York,14254.3,27,40ft_Standard,General_Dry,17828.2,61.0,Tier_2_Regional,3,1.05,101.9,1.25,7481.29
SHP-10152,Busan,Long Beach,9395.7,13,40ft_Standard,General_Dry,21971.4,49.6,Tier_3_Spot,5,1.05,79.3,1.31,6257.67
SHP-10153,Chennai,Rotterdam,11463.1,23,LCL_Consolidated,Automotive,1639.9,11.0,Tier_2_Regional,4,1.05,82.3,1.35,3580.37
SHP-10154,Chennai,Rotterdam,11573.2,23,40ft_HighCube,General_Dry,17865.1,57.4,Tier_2_Regional,8,1.25,104.2,1.09,7741.58
SHP-10155,Shanghai,Los Angeles,10499.2,16,40ft_HighCube,Automotive,24420.7,67.5,Tier_2_Regional,2,0.9,87.5,1.42,8136.27
SHP-10156,Shanghai,Los Angeles,10509.1,15,20ft_Standard,General_Dry,14896.5,20.5,Tier_2_Regional,10,1.25,97.8,0.97,4347.49
SHP-10157,Chennai,Colombo,620.3,2,40ft_HighCube,Automotive,14942.0,75.4,Tier_2_Regional,1,0.9,74.7,1.22,5281.69
SHP-10158,Shanghai,Rotterdam,19502.6,28,20ft_Standard,Electronics,15205.6,22.9,Tier_3_Spot,3,1.05,74.4,1.3,6476.75
SHP-10159,Shanghai,Rotterdam,19472.4,31,20ft_Standard,Automotive,15223.1,32.1,Tier_1_Alliance,6,1.05,88.0,0.92,5537.97
SHP-10160,Shanghai,Los Angeles,10505.9,16,40ft_HighCube,Textiles,14493.0,48.5,Tier_2_Regional,12,1.05,78.7,1.16,6244.86
SHP-10161,Tokyo,Los Angeles,8723.6,12,LCL_Consolidated,Electronics,1785.1,13.0,Tier_3_Spot,8,1.25,79.2,0.95,2575.14
SHP-10162,Nhava Sheva,New York,14190.4,28,20ft_Standard,Textiles,15021.1,27.8,Tier_2_Regional,9,1.25,91.5,1.36,7038.43
SHP-10163,Shanghai,Los Angeles,10542.4,14,40ft_HighCube,Automotive,12184.5,51.2,Tier_1_Alliance,3,1.05,80.5,1.15,7355.01
SHP-10164,Shanghai,Rotterdam,19510.8,29,LCL_Consolidated,Automotive,3253.8,3.0,Tier_1_Alliance,5,1.05,86.3,1.27,5189.38
SHP-10165,Chennai,Colombo,655.1,5,20ft_Standard,Electronics,14562.1,23.1,Tier_2_Regional,11,1.05,90.6,0.95,2693.21
SHP-10166,Tokyo,Los Angeles,8828.0,11,40ft_Standard,Perishable_Reefer,24392.8,36.8,Tier_3_Spot,2,0.9,90.7,1.04,5676.31
SHP-10167,Shanghai,Los Angeles,10464.5,14,40ft_HighCube,Automotive,25226.8,52.8,Tier_2_Regional,11,1.05,106.4,1.03,6903.19
SHP-10168,Santos,Rotterdam,10160.6,21,20ft_Standard,Automotive,6035.4,31.9,Tier_3_Spot,3,1.05,78.2,1.22,4234.95
SHP-10169,Singapore,Fremantle,3867.5,11,20ft_Standard,General_Dry,3818.3,26.5,Tier_1_Alliance,10,1.25,81.5,0.99,3138.03
SHP-10170,Singapore,Fremantle,3883.3,7,LCL_Consolidated,Textiles,1803.5,13.5,Tier_3_Spot,8,1.25,80.8,1.32,2226.09
SHP-10171,Hamburg,Singapore,15759.5,23,20ft_Standard,Electronics,10481.2,23.4,Tier_2_Regional,6,1.05,93.8,1.05,5033.7
SHP-10172,Busan,Long Beach,9363.9,14,LCL_Consolidated,Electronics,2817.4,3.3,Tier_2_Regional,4,1.05,88.8,1.02,2460.06
SHP-10173,Nhava Sheva,Dubai,2028.2,4,40ft_HighCube,Perishable_Reefer,17526.4,74.8,Tier_3_Spot,3,1.05,101.3,1.38,8869.73
