Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00099,Delhi,Shanghai,Sea,Food Products,2014,0.5,11499,20FT,93.84,Normal,Carrier_C,23,90258
SHP00100,Ahmedabad,Colombo,Sea,Machinery,3071,8.79,9823,40FT,83.91,Normal,Carrier_E,20,69113
SHP00101,Delhi,Jebel Ali,Sea,Automotive Parts,5725,14.32,9992,40FT,95.68,Normal,Carrier_E,25,97622
SHP00102,Mumbai,New York,Sea,Food Products,1406,0.5,2587,LCL,114.58,Normal,Carrier_B,5,52231
SHP00103,Mumbai,New York,Sea,Machinery,1212,0.5,5979,40FT,86.72,Normal,Carrier_C,11,54820
SHP00104,Pune,Rotterdam,Sea,Furniture,3463,4.76,11417,40FT_HC,99.7,Normal,Carrier_E,23,108590
SHP00105,Bengaluru,Hamburg,Road,Furniture,2289,0.5,7201,40FT,102.76,Normal,Carrier_E,13,106003
SHP00106,Pune,Dubai,Sea,Machinery,717,8.15,1680,AIR_CARGO,83.56,Normal,Carrier_C,3,31063
SHP00107,Pune,Singapore,Sea,Food Products,1376,2.43,8916,LCL,98.54,Peak,Carrier_B,15,93122
SHP00108,Chennai,Rotterdam,Air,Automotive Parts,2221,0.5,994,AIR_CARGO,87.58,Peak,Carrier_C,2,90429
SHP00109,Ahmedabad,Jebel Ali,Sea,Machinery,2262,4.9,9036,AIR_CARGO,109.17,Normal,Carrier_B,17,107576
SHP00110,Kolkata,Los Angeles,Sea,Food Products,2650,7.27,10617,LCL,103.59,Normal,Carrier_B,19,97550
SHP00111,Kolkata,Dubai,Sea,Chemicals,1074,0.5,5390,20FT,108.05,Normal,Carrier_D,11,77561
SHP00112,Chennai,Colombo,Sea,Furniture,2296,4.01,5257,40FT,82.99,Normal,Carrier_B,7,53699
SHP00113,Chennai,Dubai,Road,Chemicals,4627,16.23,3998,40FT_HC,76.38,Normal,Carrier_D,10,51033
SHP00114,Delhi,Rotterdam,Air,Automotive Parts,383,0.5,10585,20FT,109.02,Normal,Carrier_A,20,319481
SHP00115,Kolkata,Shanghai,Sea,Food Products,2081,2.63,6800,40FT_HC,90.47,Normal,Carrier_B,14,71165
SHP00116,Bengaluru,Rotterdam,Road,Chemicals,849,0.5,7161,LCL,82.19,Normal,Carrier_C,16,65958
SHP00117,Hyderabad,Rotterdam,Air,Food Products,2448,13.12,8110,40FT,78.68,Normal,Carrier_D,17,193205
SHP00118,Pune,Rotterdam,Sea,Machinery,940,4.87,3953,20FT,95.66,Normal,Carrier_A,8,49923
SHP00119,Mumbai,Dubai,Road,Automotive Parts,2728,6.3,5477,LCL,81.01,Peak,Carrier_A,13,72314
SHP00120,Pune,Rotterdam,Sea,Chemicals,7197,14.26,9028,20FT,97.67,Normal,Carrier_B,22,92836
SHP00121,Pune,Hamburg,Air,Pharmaceuticals,1323,0.5,11833,AIR_CARGO,104.09,Normal,Carrier_C,21,336379
SHP00122,Hyderabad,Dubai,Road,Machinery,1453,2.38,895,40FT,96.4,Normal,Carrier_B,5,34330
SHP00123,Delhi,Los Angeles,Sea,Furniture,1842,6.37,990,40FT,111.15,Normal,Carrier_E,2,41421
SHP00124,Kolkata,Hamburg,Sea,Pharmaceuticals,3075,3.07,5423,LCL,81.22,Normal,Carrier_A,14,48658
SHP00125,Pune,Jebel Ali,Sea,Pharmaceuticals,1289,1.22,8086,LCL,94.76,Normal,Carrier_E,15,73501
SHP00126,Ahmedabad,Los Angeles,Sea,Electronics,1953,8.08,4943,LCL,81.53,Off_Peak,Carrier_E,9,37985
SHP00127,Chennai,Colombo,Air,Electronics,1618,10.29,11996,40FT,110.04,Normal,Carrier_D,26,404692
SHP00128,Ahmedabad,New York,Road,Automotive Parts,1846,6.57,2747,AIR_CARGO,112.29,Normal,Carrier_E,8,61912
SHP00129,Ahmedabad,Dubai,Sea,Chemicals,3099,4.73,591,40FT,91.0,Peak,Carrier_A,2,41739
SHP00130,Kolkata,New York,Sea,Chemicals,3577,7.9,2686,LCL,87.23,Normal,Carrier_A,7,39339
SHP00131,Bengaluru,Dubai,Sea,Chemicals,957,3.93,10699,40FT_HC,86.17,Off_Peak,Carrier_C,20,71694
SHP00132,Delhi,Los Angeles,Sea,Food Products,3091,6.19,2169,AIR_CARGO,109.39,Normal,Carrier_B,3,55831
SHP00133,Pune,Colombo,Sea,Machinery,19318,48.84,6008,40FT,102.3,Normal,Carrier_C,13,101566
SHP00134,Pune,Singapore,Sea,Chemicals,6821,13.32,5322,40FT_HC,110.22,Normal,Carrier_C,11,86230
SHP00135,Pune,Singapore,Road,Machinery,1647,10.37,8156,AIR_CARGO,79.7,Peak,Carrier_B,15,91559
SHP00136,Chennai,Hamburg,Sea,Automotive Parts,2724,6.14,1128,40FT,94.04,Normal,Carrier_A,7,45120
SHP00137,Hyderabad,Rotterdam,Sea,Pharmaceuticals,2446,3.3,8076,LCL,102.05,Normal,Carrier_D,15,83161
SHP00138,Bengaluru,Rotterdam,Air,Chemicals,3370,10.39,4580,40FT,110.88,Normal,Carrier_E,11,236510
SHP00139,Hyderabad,Singapore,Sea,Automotive Parts,1900,0.61,11149,AIR_CARGO,90.28,Normal,Carrier_D,24,92054
SHP00140,Mumbai,Los Angeles,Road,Chemicals,2099,5.59,10262,LCL,87.52,Normal,Carrier_E,20,101029
SHP00141,Delhi,Colombo,Road,Electronics,1555,9.31,5094,20FT,111.52,Normal,Carrier_B,10,92911
SHP00142,Bengaluru,Hamburg,Sea,Textiles,5095,7.26,11918,40FT_HC,76.9,Normal,Carrier_B,24,76110
SHP00143,Bengaluru,Los Angeles,Sea,Automotive Parts,3060,12.05,1097,LCL,94.18,Normal,Carrier_C,5,34141
SHP00144,Pune,Rotterdam,Sea,Chemicals,3075,2.16,9569,LCL,93.35,Normal,Carrier_B,21,81150
SHP00145,Hyderabad,Hamburg,Sea,Furniture,5519,16.42,5489,AIR_CARGO,80.84,Peak,Carrier_E,16,61828
SHP00146,Chennai,New York,Sea,Textiles,5573,9.48,5483,AIR_CARGO,90.8,Normal,Carrier_D,11,72998
SHP00147,Mumbai,London,Sea,Automotive Parts,4929,16.5,2457,40FT_HC,103.9,Normal,Carrier_D,7,63187
SHP00148,Pune,Jebel Ali,Sea,Furniture,5465,10.71,6421,AIR_CARGO,89.67,Peak,Carrier_D,11,77403
SHP00149,Pune,Hamburg,Sea,Furniture,6903,15.01,1474,LCL,87.39,Peak,Carrier_D,6,53830
SHP00150,Pune,Rotterdam,Sea,Food Products,1334,0.5,7591,40FT_HC,106.28,Peak,Carrier_C,16,96080
SHP00151,Hyderabad,Los Angeles,Road,Furniture,2059,0.5,3278,40FT_HC,114.55,Normal,Carrier_D,8,87513
SHP00152,Bengaluru,New York,Sea,Chemicals,3963,4.87,8836,40FT,106.17,Normal,Carrier_E,17,94326
SHP00153,Delhi,Jebel Ali,Sea,Food Products,1406,0.5,7485,LCL,108.85,Normal,Carrier_C,15,77989
SHP00154,Bengaluru,Jebel Ali,Sea,Electronics,1974,0.5,9084,LCL,112.58,Normal,Carrier_C,19,95446
SHP00155,Kolkata,Hamburg,Road,Chemicals,2837,7.93,9122,AIR_CARGO,107.07,Normal,Carrier_C,17,125313
SHP00156,Delhi,Jebel Ali,Sea,Pharmaceuticals,2153,11.23,2762,LCL,114.21,Normal,Carrier_B,6,59191
SHP00157,Pune,New York,Air,Furniture,2610,13.4,508,AIR_CARGO,104.89,Normal,Carrier_C,3,98959
SHP00158,Delhi,Colombo,Air,Electronics,1187,0.5,4706,LCL,101.46,Peak,Carrier_E,7,188135
SHP00159,Bengaluru,Los Angeles,Sea,Textiles,2439,5.37,11069,40FT,102.73,Normal,Carrier_D,20,112278
SHP00160,Chennai,Hamburg,Air,Automotive Parts,2728,11.15,7146,LCL,111.0,Normal,Carrier_B,14,293099
SHP00161,Pune,Jebel Ali,Sea,Furniture,7142,11.76,8866,40FT,102.32,Normal,Carrier_D,21,107263
SHP00162,Delhi,Colombo,Sea,Machinery,2099,9.81,10615,LCL,105.45,Normal,Carrier_A,20,97599
SHP00163,Kolkata,Los Angeles,Sea,Electronics,1638,8.78,10920,LCL,83.64,Normal,Carrier_B,22,76939
SHP00164,Hyderabad,Dubai,Sea,Machinery,3974,1.68,6584,20FT,111.51,Normal,Carrier_E,12,84045
SHP00165,Chennai,Colombo,Sea,Furniture,317,0.5,6721,LCL,92.89,Normal,Carrier_B,13,60767
SHP00166,Chennai,Dubai,Air,Machinery,2034,3.24,10286,40FT,81.44,Peak,Carrier_C,18,240499
SHP00167,Chennai,Dubai,Sea,Furniture,1790,8.01,9786,40FT_HC,106.99,Normal,Carrier_B,21,101082
SHP00168,Delhi,Colombo,Sea,Automotive Parts,2962,0.97,8537,40FT,89.26,Off_Peak,Carrier_C,15,61487
SHP00169,Chennai,Jebel Ali,Sea,Textiles,5620,5.23,7451,LCL,82.36,Normal,Carrier_D,17,60089
SHP00170,Bengaluru,Dubai,Sea,Automotive Parts,6853,16.57,7598,AIR_CARGO,85.25,Off_Peak,Carrier_B,17,65698
SHP00171,Chennai,Jebel Ali,Air,Chemicals,2935,9.52,4673,20FT,76.4,Peak,Carrier_B,10,143690
SHP00172,Kolkata,Jebel Ali,Sea,Electronics,912,0.5,10171,AIR_CARGO,78.62,Normal,Carrier_E,22,58586
SHP00173,Pune,Los Angeles,Sea,Machinery,1790,1.87,7604,20FT,98.7,Normal,Carrier_A,22,77359
SHP00174,Pune,Shanghai,Sea,Automotive Parts,1922,7.08,3071,20FT,109.65,Normal,Carrier_B,9,60661
SHP00175,Mumbai,New York,Sea,Furniture,3174,4.08,3258,AIR_CARGO,92.94,Peak,Carrier_D,6,57934
SHP00176,Kolkata,Jebel Ali,Sea,Automotive Parts,2593,2.99,10408,LCL,100.04,Normal,Carrier_C,24,90599
SHP00177,Delhi,Los Angeles,Air,Automotive Parts,1598,4.91,7696,40FT,107.39,Normal,Carrier_D,16,281995
SHP00178,Chennai,London,Sea,Electronics,1108,4.19,5085,AIR_CARGO,89.27,Normal,Carrier_E,15,52002
SHP00179,Chennai,Dubai,Road,Textiles,1422,2.49,2652,40FT_HC,101.17,Off_Peak,Carrier_B,6,55171
SHP00180,Bengaluru,Hamburg,Sea,Pharmaceuticals,1388,9.24,7517,20FT,89.02,Normal,Carrier_A,18,65845
SHP00181,Hyderabad,Jebel Ali,Sea,Automotive Parts,7173,20.08,2620,40FT,100.71,Peak,Carrier_A,7,68596
SHP00182,Chennai,Colombo,Sea,Electronics,1516,2.21,5907,40FT_HC,83.7,Peak,Carrier_B,18,62415
SHP00183,Ahmedabad,Dubai,Road,Machinery,2600,1.03,8291,40FT,114.11,Normal,Carrier_A,17,139168
SHP00184,Kolkata,Dubai,Road,Furniture,4692,15.14,7002,LCL,78.05,Normal,Carrier_D,21,79878
SHP00185,Delhi,London,Sea,Chemicals,2838,10.86,11104,40FT_HC,95.21,Peak,Carrier_C,23,104912
SHP00186,Pune,Hamburg,Air,Pharmaceuticals,1234,2.54,957,AIR_CARGO,86.45,Normal,Carrier_B,5,73060
SHP00187,Mumbai,Los Angeles,Air,Food Products,4743,12.4,3718,40FT,99.03,Normal,Carrier_C,12,201957
SHP00188,Chennai,London,Sea,Pharmaceuticals,3147,10.3,1156,AIR_CARGO,92.13,Normal,Carrier_A,3,38366
SHP00189,Mumbai,New York,Sea,Furniture,604,7.85,2738,AIR_CARGO,87.27,Off_Peak,Carrier_E,9,33405
SHP00190,Chennai,Dubai,Sea,Pharmaceuticals,5618,16.93,1926,40FT,85.0,Normal,Carrier_C,5,42011
SHP00191,Delhi,Jebel Ali,Sea,Furniture,4410,12.28,8926,40FT,82.3,Peak,Carrier_E,19,75506
SHP00192,Hyderabad,Jebel Ali,Road,Electronics,3115,11.14,4748,20FT,106.32,Off_Peak,Carrier_D,11,86892
SHP00193,Kolkata,London,Road,Food Products,7235,21.83,11138,20FT,83.89,Normal,Carrier_E,23,117880
SHP00194,Pune,New York,Sea,Automotive Parts,4345,11.43,769,40FT_HC,105.94,Normal,Carrier_C,4,48305
SHP00195,Delhi,Singapore,Sea,Automotive Parts,5204,16.06,8009,40FT_HC,94.4,Normal,Carrier_C,15,75580
SHP00196,Mumbai,Rotterdam,Sea,Pharmaceuticals,4904,8.97,11661,40FT_HC,77.89,Normal,Carrier_B,23,77666
SHP00197,Chennai,Colombo,Air,Electronics,4089,13.88,2522,20FT,81.62,Peak,Carrier_E,2,136569
SHP00198,Mumbai,Colombo,Road,Food Products,781,0.5,5588,AIR_CARGO,110.72,Normal,Carrier_D,14,100781
SHP00199,Kolkata,Singapore,Road,Automotive Parts,844,0.5,8572,LCL,99.11,Peak,Carrier_B,21,122606
SHP00200,Ahmedabad,Dubai,Air,Machinery,4346,9.83,7781,LCL,82.37,Normal,Carrier_B,17,214615
SHP00201,Pune,Los Angeles,Sea,Textiles,5567,7.89,7009,40FT,103.15,Normal,Carrier_D,12,88876
SHP00202,Delhi,Hamburg,Sea,Textiles,1581,1.38,4258,20FT,107.93,Normal,Carrier_B,11,62787
SHP00203,Mumbai,Singapore,Sea,Automotive Parts,1212,4.4,8874,40FT,88.23,Normal,Carrier_D,17,69385
SHP00204,Mumbai,New York,Road,Food Products,2965,8.17,8012,LCL,97.26,Normal,Carrier_A,17,107024
SHP00205,Kolkata,Jebel Ali,Sea,Chemicals,973,4.87,2372,40FT,86.74,Normal,Carrier_B,8,39295
SHP00206,Ahmedabad,Rotterdam,Sea,Automotive Parts,2240,7.95,11587,20FT,78.2,Normal,Carrier_C,24,71802
SHP00207,Chennai,Dubai,Sea,Chemicals,1985,6.22,6890,20FT,90.98,Normal,Carrier_A,17,61815
SHP00208,Ahmedabad,Rotterdam,Air,Chemicals,2161,1.74,6543,20FT,105.06,Normal,Carrier_B,14,237548
SHP00209,Mumbai,Hamburg,Sea,Furniture,8509,23.95,10255,LCL,93.35,Peak,Carrier_D,21,109856
SHP00210,Kolkata,Jebel Ali,Sea,Furniture,1656,3.5,7865,20FT,91.21,Normal,Carrier_A,18,66421
SHP00211,Chennai,New York,Sea,Food Products,2588,7.12,1357,40FT_HC,89.64,Normal,Carrier_A,4,38984
SHP00212,Ahmedabad,Colombo,Air,Chemicals,1065,2.95,6326,40FT_HC,93.36,Normal,Carrier_C,12,177613
SHP00213,Pune,Hamburg,Air,Machinery,4607,17.27,9477,20FT,87.73,Off_Peak,Carrier_B,20,248282
SHP00214,Ahmedabad,Singapore,Sea,Food Products,2225,0.52,8550,40FT_HC,99.49,Normal,Carrier_B,15,85888
SHP00215,Pune,Colombo,Air,Automotive Parts,5377,11.43,11664,20FT,77.54,Peak,Carrier_D,23,311444
SHP00216,Ahmedabad,Colombo,Sea,Pharmaceuticals,506,3.33,787,LCL,107.3,Off_Peak,Carrier_A,1,29220
SHP00217,Hyderabad,New York,Sea,Machinery,2407,5.82,3504,40FT_HC,81.93,Normal,Carrier_C,7,42960
SHP00218,Chennai,Singapore,Air,Electronics,2724,4.55,6815,LCL,100.34,Normal,Carrier_D,13,253900
SHP00219,Ahmedabad,London,Sea,Textiles,4521,3.09,7624,40FT_HC,93.0,Normal,Carrier_D,14,79044
